NOME,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,FASE,ANO,DEFASAGEM,NIVEL_IDEAL
ALUNO-91,6.846668,10.0,4.5,6.4,9.000020000000001,6.875,5.625,7.58333,Ágata,0.0,2.0,2020,,
ALUNO-94,6.7552085,10.0,4.0,6.0,7.08333,7.5,7.96875,7.5000025,Ágata,0.0,3.0,2020,,
ALUNO-95,7.336876333333333,5.0,6.666666666666667,8.2,9.58335,7.5,7.96875,6.791665,Ametista,0.0,3.0,2020,,
ALUNO-96,6.432500999999999,5.0,3.0,6.1,9.16668,6.875,7.5,8.791664999999998,Ágata,1.0,7.0,2020,,
ALUNO-97,7.393752,5.0,6.0,8.0,9.50002,7.5,8.4375,7.75,Ametista,0.0,2.0,2020,,
ALUNO-100,6.908335000000001,5.0,7.5,6.5,9.000020000000001,4.375,6.875,7.916665,Ágata,0.0,1.0,2020,,
ALUNO-102,7.966668666666667,10.0,7.0,8.5,8.000020000000001,7.5,7.5,7.833333333333333,Ametista,0.0,1.0,2020,,
ALUNO-103,8.597919000000001,10.0,8.5,10.0,9.000020000000001,7.5,7.8125,7.333335,Topázio,0.0,0.0,2020,,
ALUNO-105,8.516877,10.0,8.0,9.6,9.16668,7.5,7.96875,7.66667,Topázio,0.0,3.0,2020,,
ALUNO-106,8.450002,5.0,10.0,10.0,9.50002,7.5,7.5,7.5,Ametista,0.0,0.0,2020,,
ALUNO-111,6.8535425,5.0,4.5,7.7,7.91667,7.5,7.96875,7.8750025,Ágata,0.0,3.0,2020,,
ALUNO-112,6.448887666666667,5.0,5.333333333333333,6.8,7.91667,4.375,7.708333333333334,7.611103333333333,Ágata,0.0,3.0,2020,,
ALUNO-113,7.693335000000001,5.0,7.5,8.8,8.500020000000001,7.5,7.5,7.916665,Ametista,0.0,1.0,2020,,
ALUNO-115,5.331389333333334,5.0,5.166666666666667,1.9,9.16668,6.875,7.916666666666667,5.111106666666666,Quartzo,0.0,4.0,2020,,
ALUNO-117,8.032085,5.0,9.5,8.9,8.000020000000001,7.5,7.1875,7.916665,Ametista,0.0,1.0,2020,,
ALUNO-118,8.342085,10.0,10.0,7.7,8.500020000000001,7.5,7.1875,7.416665,Ametista,0.0,1.0,2020,,
ALUNO-120,7.895835000000001,5.0,9.5,10.0,9.000020000000001,8.125,2.5,7.666665,Ametista,0.0,0.0,2020,,
ALUNO-125,7.187502,5.0,5.0,9.0,9.000020000000001,7.5,7.708333333333334,7.333333333333333,Ágata,0.0,1.0,2020,,
ALUNO-128,5.854169000000001,5.0,5.5,10.0,7.416679999999999,5.625,2.5,3.500005,Quartzo,0.0,0.0,2020,,
ALUNO-132,7.344792,10.0,6.0,6.5,8.75001,7.5,8.28125,6.95833,Ametista,0.0,4.0,2020,,
ALUNO-133,8.428752,5.0,10.0,9.8,10.00002,7.5,7.1875,7.5,Ametista,0.0,0.0,2020,,
ALUNO-135,7.798752,10.0,6.5,8.4,9.000020000000001,7.5,7.1875,7.25,Ametista,0.0,1.0,2020,,
ALUNO-136,4.643056,5.0,2.0,4.0,7.5,4.375,6.666666666666667,5.444446666666667,Quartzo,0.0,5.0,2020,,
ALUNO-139,6.105834000000001,5.0,4.333333333333333,5.8,9.16668,7.5,8.125,5.499996666666667,Ágata,0.0,5.0,2020,,
ALUNO-145,8.345001166666666,10.0,7.333333333333333,9.1,7.91667,7.5,7.5,8.8333375,Ametista,1.0,7.0,2020,,
ALUNO-146,6.385835333333334,10.0,0.0,7.2,10.00002,7.5,7.291666666666667,7.333333333333333,Ágata,0.0,1.0,2020,,
ALUNO-147,5.934724000000001,5.0,0.0,8.0,9.000020000000001,7.5,7.291666666666667,7.277776666666666,Quartzo,0.0,2.0,2020,,
ALUNO-149,7.131667,10.0,3.0,8.7,7.5,5.625,8.125,8.333335,Ágata,0.0,6.0,2020,,
ALUNO-151,8.238891333333333,5.0,7.5,9.5,9.50002,7.5,9.166666666666666,8.611113333333334,Ametista,0.0,1.0,2020,,
ALUNO-152,7.963542166666667,10.0,6.333333333333333,9.0,6.24999,7.5,7.96875,8.6250075,Ametista,0.0,3.0,2020,,
ALUNO-153,8.167711833333334,10.0,4.666666666666667,9.0,10.00002,7.5,8.59375,9.1250075,Ametista,1.0,4.0,2020,,
ALUNO-154,5.884585,5.0,0.0,7.1,8.500020000000001,7.5,7.8125,7.916665,Quartzo,0.0,1.0,2020,,
ALUNO-156,7.110556666666668,5.0,5.0,8.9,7.916679999999999,7.5,6.666666666666667,8.11111,Ágata,0.0,2.0,2020,,
ALUNO-157,7.177224000000001,5.0,6.75,6.4,9.50002,7.5,7.916666666666668,7.777776666666667,Ágata,0.0,1.0,2020,,
ALUNO-158,6.064722,5.0,5.0,5.9,9.16668,3.75,7.708333333333334,6.611103333333333,Quartzo,0.0,3.0,2020,,
ALUNO-160,4.478057333333334,5.0,0.0,2.3,8.000020000000001,5.0,7.291666666666667,7.444443333333333,Quartzo,0.0,1.0,2020,,
ALUNO-161,8.891667,10.0,9.0,10.0,7.91667,7.5,0.0,0.0,Ametista,,8.0,2020,,
ALUNO-162,7.953752000000001,5.0,8.5,8.8,8.500020000000001,7.5,8.4375,7.75,Ametista,0.0,1.0,2020,,
ALUNO-163,6.440002,5.0,6.25,8.2,7.50002,5.0,2.5,7.75,Ágata,0.0,1.0,2020,,
ALUNO-164,7.708752,5.0,7.5,8.7,9.50002,7.5,7.1875,7.75,Ametista,0.0,1.0,2020,,
ALUNO-165,8.431252,5.0,10.0,10.0,9.000020000000001,7.5,7.8125,7.5,Ametista,0.0,0.0,2020,,
ALUNO-168,8.082224,5.0,8.5,8.8,10.00002,7.5,7.5,8.11111,Ametista,0.0,1.0,2020,,
ALUNO-169,7.800001000000001,10.0,10.0,10.0,9.000020000000001,5.0,2.5,5.749995,Ametista,0.0,0.0,2020,,
ALUNO-173,3.7383341666666654,5.0,2.833333333333333,0.9,7.91667,3.125,5.625,4.1250025,Quartzo,0.0,5.0,2020,,
ALUNO-174,7.921668,10.0,7.2,10.0,9.16668,5.625,0.0,0.0,Ametista,,5.0,2020,,
ALUNO-183,7.862503,5.0,10.0,10.0,9.000020000000001,8.125,2.5,7.000005,Ametista,0.0,0.0,2020,,
ALUNO-184,8.257224,10.0,7.5,8.3,10.00002,7.5,7.916666666666668,7.777776666666667,Ametista,0.0,1.0,2020,,
ALUNO-186,6.314166333333334,2.5,5.666666666666667,5.8,8.75001,7.5,8.125,6.66666,Ágata,0.0,3.0,2020,,
ALUNO-187,6.41389,10.0,0.0,8.0,8.500020000000001,7.5,7.916666666666667,7.111106666666665,Ágata,0.0,2.0,2020,,
ALUNO-188,7.744167,10.0,9.0,4.7,7.08333,7.5,8.125,8.66667,Ametista,1.0,3.0,2020,,
ALUNO-189,7.2558353333333345,5.0,8.0,8.3,8.000020000000001,5.0,7.291666666666667,7.333333333333333,Ágata,0.0,1.0,2020,,
ALUNO-190,8.733751333333334,10.0,7.666666666666667,9.2,8.33334,6.875,9.0625,9.666670000000002,Topázio,1.0,7.0,2020,,
ALUNO-192,4.854723333333333,5.0,0.0,5.1,7.416679999999999,5.0,6.041666666666666,7.444443333333333,Quartzo,0.0,1.0,2020,,
ALUNO-193,8.539168666666667,10.0,7.0,9.8,10.00002,5.0,8.125,9.333333333333332,Topázio,1.0,3.0,2020,,
ALUNO-194,7.1214596666666665,5.0,6.333333333333333,8.3,8.33334,6.875,7.65625,7.04167,Ágata,0.0,6.0,2020,,
ALUNO-197,8.832500666666666,10.0,8.666666666666666,9.6,8.33334,7.5,8.958333333333332,8.5,Topázio,0.0,3.0,2020,,
ALUNO-198,5.518958,10.0,4.5,6.1,0.0,5.625,5.78125,6.291665,Quartzo,0.0,6.0,2020,,
ALUNO-199,6.658610666666666,5.0,7.666666666666667,4.8,6.25,7.5,8.125,7.388886666666666,Ágata,0.0,3.0,2020,,
ALUNO-200,7.355834833333334,10.0,5.666666666666667,5.8,7.91667,7.5,8.125,8.5416725,Ametista,0.0,4.0,2020,,
ALUNO-201,7.718541500000001,5.0,8.0,9.4,7.08333,7.5,7.96875,7.4166675,Ametista,0.0,3.0,2020,,
ALUNO-202,3.7799986666666654,5.0,0.0,2.9,0.0,6.875,6.458333333333334,6.833326666666666,Quartzo,0.0,2.0,2020,,
ALUNO-206,5.2162495,10.0,2.0,4.3,0.0,7.5,7.8125,7.1249975,Quartzo,0.0,6.0,2020,,
ALUNO-208,7.842502,10.0,5.0,9.4,9.000020000000001,7.5,8.125,7.5,Ametista,0.0,2.0,2020,,
ALUNO-209,9.075004,5.0,10.0,10.0,9.50002,6.25,10.0,10.00001,Topázio,1.0,0.0,2020,,
ALUNO-210,8.213058666666669,10.0,5.666666666666667,9.1,10.00002,7.5,8.541666666666666,8.277783333333332,Ametista,0.0,5.0,2020,,
ALUNO-212,6.345836,10.0,7.0,10.0,7.416679999999999,4.375,2.5,2.58334,Ágata,0.0,0.0,2020,,
ALUNO-213,8.081669333333334,5.0,9.0,9.7,9.000020000000001,5.0,8.749999999999998,7.833336666666668,Ametista,0.0,2.0,2020,,
ALUNO-215,8.874585000000002,10.0,10.0,9.3,9.50002,7.5,7.8125,7.666665,Topázio,0.0,1.0,2020,,
ALUNO-216,5.960001,10.0,7.4,0.0,8.75001,5.625,0.0,0.0,Quartzo,,8.0,2020,,
ALUNO-217,8.942503,10.0,9.5,9.4,8.000020000000001,7.5,8.125,9.000005,Topázio,1.0,1.0,2020,,
ALUNO-219,7.832084999999999,10.0,5.0,7.9,9.50002,8.75,8.4375,7.916665,Ametista,0.0,2.0,2020,,
ALUNO-222,8.478752,10.0,9.5,7.8,9.000020000000001,7.5,7.1875,8.25,Topázio,0.0,1.0,2020,,
ALUNO-223,6.59278,5.0,5.0,5.2,9.000020000000001,6.875,8.541666666666668,8.055556666666668,Ágata,0.0,1.0,2020,,
ALUNO-225,8.845558333333333,10.0,8.333333333333334,9.7,9.58335,7.5,8.749999999999998,8.277783333333334,Topázio,0.0,4.0,2020,,
ALUNO-226,7.849446666666667,10.0,7.5,7.4,8.500020000000001,5.625,8.125,8.222223333333332,Ametista,0.0,2.0,2020,,
ALUNO-227,5.981250166666666,5.0,6.333333333333333,3.0,8.75001,7.5,7.8125,6.0416625,Quartzo,0.0,3.0,2020,,
ALUNO-229,5.890556,5.0,0.0,7.8,7.33334,7.5,7.916666666666668,7.777776666666667,Quartzo,0.0,1.0,2020,,
ALUNO-230,5.0047223333333335,5.0,2.333333333333333,6.1,8.75001,4.375,5.833333333333333,4.611106666666667,Quartzo,0.0,3.0,2020,,
ALUNO-231,5.959792166666666,10.0,4.333333333333333,3.7,8.33334,5.0,7.03125,6.5833325,Quartzo,0.0,6.0,2020,,
ALUNO-235,8.125001833333334,10.0,7.666666666666667,9.0,8.333350000000001,7.5,7.5,7.2916675,Ametista,0.0,3.0,2020,,
ALUNO-238,6.492502,5.0,4.0,8.4,9.000020000000001,5.0,5.625,7.75,Ágata,0.0,2.0,2020,,
ALUNO-241,7.285002,5.0,9.5,8.8,9.000020000000001,6.25,2.5,6.75,Ametista,0.0,1.0,2020,,
ALUNO-242,6.707085000000001,5.0,5.5,7.4,9.000020000000001,6.25,7.1875,6.916665,Ágata,0.0,1.0,2020,,
ALUNO-246,7.639168666666666,5.0,8.0,8.3,9.50002,6.875,7.083333333333333,7.666666666666666,Ametista,0.0,1.0,2020,,
ALUNO-251,8.575835333333334,10.0,10.0,8.9,8.500020000000001,7.5,7.291666666666667,7.333333333333333,Topázio,0.0,1.0,2020,,
ALUNO-259,8.753335833333333,10.0,7.666666666666667,9.1,9.16668,7.5,8.75,9.2916725,Topázio,1.0,7.0,2020,,
ALUNO-261,7.251668666666667,2.5,6.333333333333333,8.8,9.16668,7.5,7.5,7.79167,Ágata,0.0,3.0,2020,,
ALUNO-262,8.221251333333335,10.0,6.666666666666667,9.2,7.91667,5.0,9.0625,9.250005,Ametista,1.0,5.0,2020,,
ALUNO-263,8.386113666666667,10.0,6.333333333333333,9.5,9.58335,6.875,8.958333333333332,8.388893333333336,Ametista,0.0,5.0,2020,,
ALUNO-265,7.630557666666667,5.0,6.0,10.0,8.75001,6.875,8.125,7.777783333333335,Ametista,0.0,4.0,2020,,
ALUNO-266,8.336252,10.0,8.5,8.9,8.500020000000001,5.625,8.4375,8.0,Ametista,0.0,1.0,2020,,
ALUNO-267,8.370558666666668,5.0,8.0,9.7,9.16668,5.625,8.958333333333334,9.777786666666666,Ametista,1.0,3.0,2020,,
ALUNO-269,7.099168666666667,5.0,5.75,8.6,7.50002,7.5,7.291666666666667,7.5,Ágata,0.0,1.0,2020,,
ALUNO-270,7.1900010000000005,10.0,8.666666666666666,4.2,6.66667,4.375,8.125,8.500003333333334,Ágata,0.0,3.0,2020,,
ALUNO-273,4.386945333333334,2.5,0.0,4.4,9.000020000000001,7.5,7.291666666666667,4.388883333333333,Quartzo,0.0,1.0,2020,,
ALUNO-274,6.113055666666667,5.0,3.6666666666666665,5.6,7.91667,7.5,7.291666666666667,7.444443333333334,Ágata,0.0,5.0,2020,,
ALUNO-275,6.399376666666667,10.0,4.333333333333333,5.2,10.00002,7.5,6.09375,5.666665,Ágata,0.0,3.0,2020,,
ALUNO-277,8.018889999999999,5.0,10.0,8.4,9.50002,5.625,7.708333333333334,7.777773333333332,Ametista,0.0,1.0,2020,,
ALUNO-278,8.240834333333334,5.0,7.333333333333333,9.6,8.75001,9.375,8.749999999999998,8.333333333333334,Ametista,0.0,5.0,2020,,
ALUNO-280,6.6462520000000005,5.0,6.5,6.2,8.500020000000001,5.0,6.5625,8.0,Ágata,0.0,1.0,2020,,
ALUNO-284,7.901875833333333,5.0,7.666666666666667,9.9,7.91667,7.5,7.96875,7.7500025,Ametista,0.0,3.0,2020,,
ALUNO-285,5.112502,10.0,1.0,0.0,9.50002,7.5,8.125,7.0,Quartzo,0.0,2.0,2020,,
ALUNO-286,6.956252,5.0,7.5,6.0,8.000020000000001,6.875,7.1875,7.75,Ágata,0.0,1.0,2020,,
ALUNO-287,8.302085,10.0,7.5,8.5,7.416679999999999,7.5,8.4375,8.833335,Ametista,1.0,2.0,2020,,
ALUNO-288,6.840002,5.0,3.75,7.7,9.000020000000001,7.5,8.333333333333334,7.833333333333334,Ágata,0.0,2.0,2020,,
ALUNO-292,8.485558666666666,5.0,7.666666666666667,9.9,10.00002,6.875,8.958333333333332,9.44445,Topázio,1.0,4.0,2020,,
ALUNO-293,4.4162505,10.0,0.0,1.3,6.66667,4.375,7.1875,6.6666675,Quartzo,0.0,5.0,2020,,
ALUNO-295,7.586252,10.0,7.25,8.9,9.000020000000001,4.375,4.6875,7.75,Ametista,0.0,1.0,2020,,
ALUNO-296,7.713335,10.0,5.0,8.9,9.000020000000001,7.5,7.5,7.666665,Ametista,0.0,2.0,2020,,
ALUNO-297,7.201112,5.0,6.0,8.7,8.33334,4.375,8.125,8.38889,Ágata,0.0,3.0,2020,,
ALUNO-298,6.3366690000000006,5.0,6.5,6.6,8.500020000000001,5.0,5.0,6.833335,Ágata,0.0,1.0,2020,,
ALUNO-299,8.388334,10.0,9.2,10.0,5.83334,5.625,0.0,0.0,Ametista,,8.0,2020,,
ALUNO-300,6.776668000000001,10.0,8.4,0.0,9.16668,7.5,0.0,0.0,Ágata,,8.0,2020,,
ALUNO-301,8.848335333333335,10.0,9.5,9.2,10.00002,7.5,7.916666666666668,7.833333333333333,Topázio,0.0,1.0,2020,,
ALUNO-305,7.361390666666666,5.0,6.5,8.3,8.500020000000001,7.5,6.458333333333334,8.277776666666666,Ametista,0.0,2.0,2020,,
ALUNO-306,3.89146,10.0,0.0,1.4,6.66667,4.375,5.15625,4.95834,Quartzo,0.0,7.0,2020,,
ALUNO-309,8.200002000000001,10.0,10.0,6.5,8.500020000000001,7.5,7.5,7.75,Ametista,0.0,1.0,2020,,
ALUNO-312,8.508890666666668,10.0,8.5,9.1,10.00002,7.5,5.833333333333333,8.277776666666666,Topázio,0.0,2.0,2020,,
ALUNO-313,7.900001,10.0,6.5,10.0,7.50002,7.5,7.5,6.749995,Ametista,0.0,0.0,2020,,
ALUNO-315,9.461114666666669,10.0,8.666666666666666,10.0,9.16668,9.375,8.958333333333332,9.8889,Topázio,1.0,4.0,2020,,
ALUNO-316,6.427501,10.0,0.0,7.7,7.41668,7.5,8.125,7.916665,Ágata,0.0,2.0,2020,,
ALUNO-318,8.300001000000002,5.0,10.0,10.0,9.000020000000001,7.5,7.5,6.999995,Ametista,0.0,0.0,2020,,
ALUNO-319,7.1833350000000005,10.0,2.0,9.5,9.000020000000001,7.5,7.5,7.416665,Ágata,0.0,2.0,2020,,
ALUNO-321,4.9156245,10.0,2.0,2.0,4.58334,7.5,6.40625,6.3333275,Quartzo,0.0,6.0,2020,,
ALUNO-323,6.053335000000001,5.0,4.5,9.1,8.000020000000001,5.0,2.5,6.416665,Quartzo,0.0,1.0,2020,,
ALUNO-324,8.064375833333333,10.0,6.666666666666667,7.9,8.75001,7.5,8.59375,8.333332500000001,Ametista,0.0,6.0,2020,,
ALUNO-328,6.858541000000001,5.0,9.0,4.1,7.5,7.5,7.96875,7.20833,Ágata,0.0,3.0,2020,,
ALUNO-329,7.9835415,10.0,7.0,8.6,7.91667,7.5,7.96875,7.6249975,Ametista,0.0,7.0,2020,,
ALUNO-330,7.680002,5.0,8.5,7.9,8.000020000000001,7.5,7.5,8.0,Ametista,0.0,1.0,2020,,
ALUNO-332,8.258057333333333,5.0,10.0,9.2,9.50002,7.5,7.291666666666667,7.444443333333333,Ametista,0.0,1.0,2020,,
ALUNO-335,7.470837,10.0,9.5,10.0,8.500020000000001,4.375,2.5,5.166675,Ametista,0.0,0.0,2020,,
ALUNO-337,8.952223333333334,10.0,7.0,9.9,8.33334,10.0,9.166666666666666,9.111113333333332,Topázio,1.0,5.0,2020,,
ALUNO-338,5.9127081666666665,10.0,4.333333333333333,2.1,8.33334,7.5,7.34375,6.5416625,Quartzo,0.0,7.0,2020,,
ALUNO-339,8.137224,5.0,7.333333333333333,9.7,9.16668,7.5,8.749999999999998,8.444446666666668,Ametista,0.0,3.0,2020,,
ALUNO-340,7.595277333333334,5.0,7.0,9.4,8.33334,7.5,8.541666666666666,6.888883333333333,Ametista,0.0,3.0,2020,,
ALUNO-341,9.096668,10.0,9.2,10.0,9.16668,7.5,0.0,0.0,Topázio,,8.0,2020,,
ALUNO-342,8.133752000000001,10.0,8.0,9.2,9.000020000000001,5.625,5.3125,8.5,Ametista,0.0,2.0,2020,,
ALUNO-343,7.582500666666667,2.5,8.0,8.1,7.5,7.5,8.125,9.000003333333334,Ametista,1.0,3.0,2020,,
ALUNO-344,4.348541,10.0,0.0,3.8,0.0,5.0,6.71875,7.08333,Quartzo,0.0,6.0,2020,,
ALUNO-345,8.5,10.0,10.0,10.0,8.500020000000001,7.5,7.5,5.74999,Topázio,0.0,0.0,2020,,
ALUNO-346,8.418752000000001,10.0,9.5,8.0,9.000020000000001,7.5,7.1875,7.75,Ametista,0.0,1.0,2020,,
ALUNO-348,7.79167,5.0,9.5,10.0,9.50002,6.25,2.5,7.83334,Ametista,0.0,0.0,2020,,
ALUNO-349,9.200004,5.0,10.0,10.0,9.50002,7.5,10.0,10.00001,Topázio,1.0,0.0,2020,,
ALUNO-353,7.165556666666667,5.0,6.0,8.3,10.00002,6.25,7.916666666666668,6.944439999999998,Ágata,0.0,2.0,2020,,
ALUNO-354,4.656042,5.0,0.0,3.4,9.16668,4.375,7.96875,6.624995,Quartzo,0.0,4.0,2020,,
ALUNO-355,6.407502000000001,5.0,4.0,8.1,7.50002,5.0,7.708333333333334,7.333333333333333,Ágata,0.0,1.0,2020,,
ALUNO-359,8.175279333333334,10.0,7.0,9.3,8.500020000000001,7.5,7.708333333333334,7.722219999999999,Ametista,0.0,2.0,2020,,
ALUNO-361,5.668335,10.0,0.0,4.3,9.000020000000001,5.625,8.125,7.666665,Quartzo,0.0,1.0,2020,,
ALUNO-364,7.813335,10.0,7.5,9.9,9.000020000000001,4.375,5.625,7.166665,Ametista,0.0,1.0,2020,,
ALUNO-365,8.396044333333334,10.0,6.666666666666667,9.6,9.58335,5.0,8.59375,9.125005000000002,Ametista,1.0,5.0,2020,,
ALUNO-367,8.325834666666669,10.0,6.666666666666667,9.4,9.16668,7.5,8.125,8.166666666666668,Ametista,0.0,3.0,2020,,
ALUNO-368,8.695001000000001,10.0,8.3,10.0,8.75001,7.5,0.0,0.0,Ametista,,8.0,2020,,
ALUNO-370,8.613335,10.0,6.5,9.9,8.75001,7.5,8.75,9.166669999999998,Topázio,1.0,3.0,2020,,
ALUNO-371,7.379792666666667,10.0,7.333333333333333,7.8,7.91667,5.0,5.78125,7.41667,Ametista,0.0,7.0,2020,,
ALUNO-372,6.816668000000001,5.0,6.0,8.0,9.000020000000001,5.0,7.5,6.83333,Ágata,0.0,2.0,2020,,
ALUNO-373,6.216666833333334,5.0,5.666666666666667,5.0,8.75001,5.625,8.125,6.6666625,Ágata,0.0,3.0,2020,,
